intent,category,function,service_type,description,example_utterances
ac_exception,제어,에어컨,예외,지원하지 않는 에어컨 관련 요청,전체 다 켜 / 전기요금 아끼게 해줘
ac_mode,제어,에어컨,모드 변경,에어컨 운전 모드 변경 (제습/송풍/자동/냉방),거실 제습으로 해줘 / 송풍해줘
ac_off,제어,에어컨,전원 OFF,에어컨 끄기,에어컨 꺼줘
ac_on,제어,에어컨,전원 ON,에어컨 켜기,에어컨 켜줘 / 너무 더워 / 찜통이야
ac_query,제어,에어컨,조회,에어컨 상태/온도/풍량 조회,에어컨 어때? / 설정 온도는?
ac_temp,제어,에어컨,온도 설정,에어컨 온도 직접 지정,에어컨 23도로 맞춰줘
ac_wind,제어,에어컨,풍량/풍향,에어컨 바람 세기/방향 조절,에어컨 세게 해줘 / 풍향 고정
alarm_setting,설정,모닝콜,설정/조회,모닝콜 알람 설정/조회/취소,매일 아침 6시 깨워줘
car_history,더보기,차량,조회,세대 차량 출입 내역 조회/삭제,주차 출입 정보 확인
community_query,부가,커뮤니티,예약/조회,단지 내 커뮤니티 시설 예약/조회,골프장 예약해줘
complex_info,부가,단지정보,조회,단지 세대수/준공일/관리사무소 연락처,관리사무소 연락처
curtain_control,제어,전동커튼,제어,전동커튼 열기/닫기/멈춤/예약,거실 커튼 열어줘
door_open,통화,로비,문 열기,공동현관 문 열기,문 열어줘 / 택배 왔어
doorlock_control,제어,도어락,제어/조회,현관 도어락 열기/잠금/상태 조회,도어락 열어줘
dust_query,부가,미세먼지,조회,미세먼지/공기질 정보 조회,미세먼지 어때? / 창문 열어도 돼?
elevator_control,더보기,엘리베이터,호출/조회,엘리베이터 호출 또는 위치 조회,엘리베이터 불러줘
emergency,부가,비상,호출,비상상황 경보/신고,화재야! / 침입자 / 경비실 연결
energy_query,에너지,원격검침,조회/설정,전기/가스/수도 사용량 조회/목표 설정,에너지 사용량 어때?
ev_charging,더보기,전기차,조회,전기차 충전 상태/충전기 정보 조회,충전 상태 어때?
fuel_query,부가,유가정보,조회,"휘발유/경유 가격 조회, 주유소 검색",기름값 얼마야?
gas_off,제어,가스,제어/조회,가스 밸브 잠금/열림/상태 조회,가스 잠가줘 / 가스 열려있어?
heating_down,제어,난방,온도 내림,난방 설정 온도 낮추기,난방 내려줘 / 온도 낮춰줘
heating_off,제어,난방,전원 OFF,난방 끄기,난방 꺼줘
heating_on,제어,난방,전원 ON,난방 켜기,난방 켜줘 / 너무 추워 / 코가 시려
heating_query,제어,난방,조회,실내 온도/난방 설정 조회,지금 온도 어때?
heating_schedule,제어,난방,예약,난방 예약 설정/조회/취소 + 외출모드,난방 예약 있어?
heating_up,제어,난방,온도 올림,난방 설정 온도 높이기,난방 올려줘 / 온도 높여줘
home_status_query,메인,상태,조회,집 전체 상태(조명/난방/온도) 종합 조회,지금 집 상태 어때?
light_dim,제어,조명,밝기 조절,조명 밝기 조절 (은은하게/어둡게),거실 조명 은은하게
light_off,제어,조명,전원 OFF,조명 끄기,불 꺼줘 / 너무 밝아
light_on,제어,조명,전원 ON,조명 켜기 (커튼등/간접등/다운라이트 포함),불 켜줘 / 어두워 / 캄캄해
light_query,제어,조명,조회,조명 상태 조회,불 켜져있어?
light_schedule,제어,조명,예약,조명 예약/취침모드 조회/설정,조명 예약 뭐있어?
manual_query,메인,매뉴얼,조회,AI 기능 안내/이름/제작사 정보,뭐 할 수 있어?
medical_query,부가,의료,조회,"근처 병원/약국 검색, 진료 시간 조회",근처 병원 어디 있어?
news_query,부가,뉴스,조회,최신 뉴스 브리핑 (카테고리별),오늘 뉴스 알려줘
notice_query,더보기,공지사항,조회,단지 소식/공지사항 조회,새로운 단지소식 있어?
notification_query,메인,알림,조회,개인 알림 확인,새로운 알림 있어?
password_change,설정,비밀번호,조회/변경,월패드 비밀번호 조회/변경,비밀번호 바꿔줘
security_mode,방범,외출/재택,설정/조회,외출모드/재택방범 설정/조회/복귀,외출모드 실행해줘 / 나 나간다
stock_query,부가,증시,조회,주식/코스피/코스닥/종목 가격 조회,오늘 주식 어때?
system_setting,설정,환경설정,설정/조회,볼륨/화면밝기/절전모드/알림음/AS,볼륨 키워줘 / 화면 밝게
time_query,메인,시간,조회,현재 시간 조회,지금 몇 시야?
traffic_query,부가,교통정보,조회,목적지 소요시간/교통상황/버스 정보,강남역까지 얼마나 걸려?
ventilation_mode,제어,환기,모드 변경,환기 운전 모드 변경 (자동/수동/내부순환),환기 모드 바꿔줘
ventilation_off,제어,환기,전원 OFF,환기 끄기,환기 꺼줘
ventilation_on,제어,환기,전원 ON,환기 켜기,환기 켜줘 / 공기가 탁해 / 답답해
ventilation_query,제어,환기,조회,환기 상태/모드/필터 조회,환기 되고 있어?
visitor_parking,더보기,방문객차량,등록/조회,방문객 차량 등록/조회,방문 차량 등록해줘
weather_query,부가,날씨,조회,날씨/기온/강수/옷차림 조회,오늘 날씨 어때? / 우산 필요해?
